Name,party,Presidential Term,President Number,ingestion Time
nhoJ Adams,DR,1825,6,2019-07-23T17:59:37.915Z
retsehC Arthur,R,1881,21,2019-07-23T17:59:37.915Z
semaJ Buchanan,D,1857,15,2019-07-23T17:59:37.915Z
nitraM Buren,D,1837,8,2019-07-23T17:59:37.915Z
egroeG Bush,R,2001,43,2019-07-23T17:59:37.915Z
egroeG Bush,R,1989,41,2019-07-23T17:59:37.915Z
ymmiJ Carter,D,1977,39,2019-07-23T17:59:37.915Z
revorG Cleveland,D,1885,22,2019-07-23T17:59:37.915Z
revorG Cleveland,D,1893,24,2019-07-23T17:59:37.915Z
lliB Clinton,D,1993,42,2019-07-23T17:59:37.915Z
nivlaC Coolidge,R,1923,30,2019-07-23T17:59:37.915Z
thgiwD Eisenhower,R,1953,34,2019-07-23T17:59:37.915Z
dralliM Fillmore,W,1850,13,2019-07-23T17:59:37.915Z
dlareG Ford,R,1974,38,2019-07-23T17:59:37.915Z
semaJ Garfield,R,1881,20,2019-07-23T17:59:37.915Z
sessylU Grant,R,1869,18,2019-07-23T17:59:37.915Z
nerraW Harding,R,1921,29,2019-07-23T17:59:37.915Z
mailliW Harrison,W,1841,9,2019-07-23T17:59:37.915Z
nimajneB Harrison,R,1889,23,2019-07-23T17:59:37.915Z
drofrehtuR Hayes,R,1877,19,2019-07-23T17:59:37.915Z
trebreH Hoover,R,1929,31,2019-07-23T17:59:37.915Z
werdnA Jackson,D,1829,7,2019-07-23T17:59:37.915Z
samohT Jefferson,DR,1801,3,2019-07-23T17:59:37.915Z
nodnyL Johnson,D,1963,36,2019-07-23T17:59:37.915Z
werdnA Johnson,NU,1865,17,2019-07-23T17:59:37.915Z
nhoJ Kennedy,D,1961,35,2019-07-23T17:59:37.915Z
maharbA Lincoln,R,1861,16,2019-07-23T17:59:37.915Z
semaJ Madison,DR,1809,4,2019-07-23T17:59:37.915Z
mailliW McKinley,R,1897,25,2019-07-23T17:59:37.915Z
semaJ Monroe,DR,1817,5,2019-07-23T17:59:37.915Z
drahciR Nixon,R,1969,37,2019-07-23T17:59:37.915Z
kcaraB Obama,D,2009,44,2019-07-23T17:59:37.915Z
nilknarF Pierce,D,1853,14,2019-07-23T17:59:37.915Z
semaJ Polk,D,1845,11,2019-07-23T17:59:37.915Z
dlanoR Reagan,R,1981,40,2019-07-23T17:59:37.915Z
nilknarF Roosevelt,D,1933,32,2019-07-23T17:59:37.915Z
erodoehT Roosevelt,R,1901,26,2019-07-23T17:59:37.915Z
mailliW Taft,R,1909,27,2019-07-23T17:59:37.915Z
yrahcaZ Taylor,W,1849,12,2019-07-23T17:59:37.915Z
yrraH Truman,D,1945,33,2019-07-23T17:59:37.915Z
dlanoD Trump,R,2017,45,2019-07-23T17:59:37.915Z
nhoJ Tyler,W,1841,10,2019-07-23T17:59:37.915Z
wordooW Wilson,D,1913,28,2019-07-23T17:59:37.915Z
